Name,Site,Date,Image,Snapshot
Abbey,Girls Got Cream,2009-09-30,https://web.archive.org/web/20090930050416im_/http://girlsgotcream.com/img/prew_add/172/mega.jpg,https://web.archive.org/web/20090930050416/http://teencoreclub.com/
Abby,Ass Teen Mouth,2011-03-16,https://web.archive.org/web/20110321061417im_/http://assteenmouth.com/img/prew_add/095/mega.jpg,https://web.archive.org/web/20110321061417/http://teencoreclub.com/
Abby,Double Teamed Teens,2010-12-01,https://web.archive.org/web/20101208082327im_/http://doubleteamedteens.com/img/prew_add/062/mega.jpg,https://web.archive.org/web/20101208082327/http://teencoreclub.com/
Abby,Fab Sluts,2014-12-27,https://web.archive.org/web/20141227210933im_/http://fabsluts.com/img/prew_add/244/mega.jpg,https://web.archive.org/web/20141227210933/http://teencoreclub.com/
Abby,Fab Sluts,2015-01-05,https://web.archive.org/web/20150106220846im_/http://fabsluts.com/img/prew_add/265/mega.jpg,https://web.archive.org/web/20150106220846/http://teencoreclub.com/
Abby,Hardcore Youth,2013-03-26,https://web.archive.org/web/20130402061712im_/http://hardcoreyouth.com/img/prew_add/135/mega.jpg,https://web.archive.org/web/20130402061712/http://teencoreclub.com/
Abby,Hardcore Youth,2014-04-11,https://web.archive.org/web/20140425155532im_/http://hardcoreyouth.com/img/prew_add/171/mega.jpg,https://web.archive.org/web/20140425155532/http://teencoreclub.com/
Abby,Try Teens,2012-01-31,https://web.archive.org/web/20120217151114im_/http://tryteens.com/img/prew_add/197/mega.jpg,https://web.archive.org/web/20120217151114/http://teencoreclub.com/
Ada,Dreams-HD,2014-04-03,https://web.archive.org/web/20140403225935im_/http://dreams-hd.com/img/prew_add/063/mega.jpg,https://web.archive.org/web/20140403225935/http://teencoreclub.com/
Ada,Dreams-HD,2014-05-05,https://web.archive.org/web/20140511062905im_/http://dreams-hd.com/img/prew_add/077/mega.jpg,https://web.archive.org/web/20140511062905/http://teencoreclub.com/
Ada,Dreams-HD,2014-05-26,https://web.archive.org/web/20140607031327im_/http://dreams-hd.com/img/prew_add/108/mega.jpg,https://web.archive.org/web/20140607031327/http://teencoreclub.com/
Ada,Dreams-HD,2014-06-24,https://web.archive.org/web/20140625040026im_/http://dreams-hd.com/img/prew_add/126/mega.jpg,https://web.archive.org/web/20140625040026/http://teencoreclub.com/
Ada,Dreams-HD,2014-07-29,https://web.archive.org/web/20140730233230im_/http://dreams-hd.com/img/prew_add/144/mega.jpg,https://web.archive.org/web/20140730233230/http://teencoreclub.com/
Ada,Dreams-HD,2014-08-26,https://web.archive.org/web/20140914043616im_/http://dreams-hd.com/img/prew_add/162/mega.jpg,https://web.archive.org/web/20140914043616/http://teencoreclub.com/
Addison,Ass Teen Mouth,2009-04-20,https://web.archive.org/web/20090428145728im_/http://assteenmouth.com/img/prew_add/047/mega.jpg,https://web.archive.org/web/20090428145728/http://teencoreclub.com/
Addison,Double Teamed Teens,2010-02-27,https://web.archive.org/web/20100305022044im_/http://doubleteamedteens.com/img/prew_add/045/mega.jpg,https://web.archive.org/web/20100305022044/http://teencoreclub.com/
Addison,Girls Got Cream,2009-03-19,https://web.archive.org/web/20090321100358im_/http://girlsgotcream.com/img/prew_add/0161/mega.jpg,https://web.archive.org/web/20090321100358/http://teencoreclub.com/
Addison,Try Teens,2010-01-19,https://web.archive.org/web/20100120041429im_/http://tryteens.com/img/prew_add/153/mega.jpg,https://web.archive.org/web/20100120041429/http://teencoreclub.com/
Addison,White Teens Black Cocks,2009-12-16,https://web.archive.org/web/20091223190959im_/http://whiteteensblackcocks.com/img/prew_add/115/mega.jpg,https://web.archive.org/web/20091223190959/http://teencoreclub.com/
Adel,Dreams-HD,2014-07-15,https://web.archive.org/web/20140719093056im_/http://dreams-hd.com/img/prew_add/136/mega.jpg,https://web.archive.org/web/20140719093056/http://teencoreclub.com/
Adel,Dreams-HD,2014-09-09,https://web.archive.org/web/20140914043616im_/http://dreams-hd.com/img/prew_add/172/mega.jpg,https://web.archive.org/web/20140914043616/http://teencoreclub.com/
Adell,Teen Anal Casting,2013-05-15,https://web.archive.org/web/20130516060157im_/http://teenanalcasting.com/img/prew_add/015/mega.jpg,https://web.archive.org/web/20130516060157/http://teencoreclub.com/
Adrianna,Ass Teen Mouth,2009-05-08,https://web.archive.org/web/20090511073059im_/http://assteenmouth.com/img/prew_add/048/mega.jpg,https://web.archive.org/web/20090511073059/http://teencoreclub.com/
Adrianna,White Teens Black Cocks,2009-04-30,https://web.archive.org/web/20090502043853im_/http://whiteteensblackcocks.com/img/prew_add/0106/comingsoon.jpg,https://web.archive.org/web/20090502043853/http://teencoreclub.com/index3.php
Adrianna,Young Throats,2009-04-06,https://web.archive.org/web/20090408190627im_/http://youngthroats.com/img/prew_add/0122/mega.jpg,https://web.archive.org/web/20090408190627/http://teencoreclub.com/
Adrianne,Fab Sluts,2014-12-08,https://web.archive.org/web/20141211105443im_/http://fabsluts.com/img/prew_add/187/mega.jpg,https://web.archive.org/web/20141211105443/http://teencoreclub.com/
Agnes,Teens Try Blacks,2013-07-11,https://web.archive.org/web/20130715003914im_/http://teenstryblacks.com/img/prew_add/024/mega.jpg,https://web.archive.org/web/20130715003914/http://teencoreclub.com/
Agnese,Hardcore Youth,2011-11-23,https://web.archive.org/web/20111126062028im_/http://hardcoreyouth.com/img/prew_add/082/mega.jpg,https://web.archive.org/web/20111126062028/http://teencoreclub.com/
Aimee,Girls Got Cream,2009-09-03,https://web.archive.org/web/20090916004352im_/http://girlsgotcream.com/img/prew_add/171/mega.jpg,https://web.archive.org/web/20090916004352/http://teencoreclub.com/
Aina,Hardcore Youth,2011-07-14,https://web.archive.org/web/20110723124122im_/http://hardcoreyouth.com/img/prew_add/067/mega.jpg,https://web.archive.org/web/20110723124122/http://teencoreclub.com/
Aiza,Teen Anal Casting,2012-06-04,https://web.archive.org/web/20120625085003im_/http://teenanalcasting.com/img/prew_add/005/mega.jpg,https://web.archive.org/web/20120625085003/http://teencoreclub.com/
Aiza,White Teens Black Cocks,2012-02-03,https://web.archive.org/web/20120217151114im_/http://whiteteensblackcocks.com/img/prew_add/141/mega.jpg,https://web.archive.org/web/20120217151114/http://teencoreclub.com/
Alesha,Girls Got Cream,2009-04-18,https://web.archive.org/web/20090418091404im_/http://girlsgotcream.com/img/prew_add/0162/mega.jpg,https://web.archive.org/web/20090418091404/http://teencoreclub.com/
